Wickets,Player,Team
14,Bhuvneshwar Kumar,Royal Challengers Bengaluru
Anshul Kamboj,Chennai Super Kings,
Eshan Malinga,Sunrisers Hyderabad,
13,Jofra Archer,Rajasthan Royals
Prince Yadav,Lucknow Super Giants,
Kagiso Rabada,Rajasthan Royals,
